source_node_id	dest_node_id	route	snr_towards	route_back	snr_back	ts	hop_start	hop_limit
!4c58abc	!9d156f86	[1770201800,1481930160,1182193385,863039765]	[21,-69,-62,-70]	[]	[]	1782602472	7	3
!4c58abc	!9d156f86	[1770201800,1481930160,2053895888,1876803981,296970900,2455877288]	[21,-69,2,-52,-58,-37]	[]	[]	1782602477	7	1
!4c58abc	!9d156f86	[1770201800,1481930160,2053895888,1876803981,296970900,2499610159]	[21,-69,2,-52,-58,-57]	[]	[]	1782602477	7	1
!4c58abc	!9d156f86	[1770201800,1481930160,2823497580,1129883376,1485516702,1445502965,2661708288]	[21,-69,-42,-48,15,3,-28]	[]	[]	1782602482	7	\N
!4c58abc	!9d156f86	[1770201800,1481930160,873705748,2383352688,3441378501,2733364616,3175772276]	[21,-69,-21,-38,3,-39,-53]	[]	[]	1782602487	7	1
!4c58abc	!9d156f86	[1770201800,1481930160,2053895888,1876803981,296970900,536775746,2050093032,67553744]	[21,-69,2,-52,-58,-18,7,-35]	[]	[]	1782602488	7	\N
!4c58abc	!9d156f86	[1770201800,1481930160,2053895888,1876803981,296970900,113801692,2140729238]	[21,-69,2,-52,-58,-63,-45]	[]	[]	1782602616	7	\N
!fbef07a2	!1ba18c28	[]	[42]	[501818444]	[33]	1782602811	2	2
!fbef07a2	!1ba18c28	[]	[42]	[]	[]	1782602811	2	2
!fbef07a2	!9bae1137	[463572008]	[42,-9]	[501818444]	[37]	1782603037	3	3
!fbef07a2	!9bae1137	[463572008]	[42,-9]	[]	[]	1782603037	3	3
!a0cc6f74	!b87950d3	[2358775987,3102319443,873705748,1481930160]	[19,-55,-50,-43]	[]	[]	1782603044	7	3
!a0cc6f74	!b87950d3	[2358775987,3102319443,873705748,314841542,1681018022,3175772276]	[19,-55,-50,-63,-60,-61]	[]	[]	1782603046	7	2
!a0cc6f74	!b87950d3	[2358775987,3102319443,873705748,1481930160,2878478702,2244341163]	[19,-55,-50,-43,-36,-36]	[]	[]	1782603070	7	1
