"id","short","long","role","hw","hasPos","lat","lon"
"!6b299665","ONZO","ONZO","CLIENT","HELTEC_MESH_POCKET","false",0,0
"!ea030528","6939","ASN-6939-ARIN","CLIENT","T_DECK","false",0,0
"!ba76ec7c","SEED","SEED","CLIENT","SEEED_XIAO_S3","false",0,0
"!2ed6900","RM2","Reckless Mesh 2","CLIENT","HELTEC_V3","false",0,0
"!336021c0","SR41","SINGERF&F41","CLIENT","LILYGO_TBEAM_S3_CORE","false",0,0
"!91e36959","3v7","mmca LiFePo4 (.14)","CLIENT","RAK4631","false",0,0
"!cca38e95","","","CLIENT","","false",0,0
"!549d7203","RoHi","RowlandHeights - SoCalMesh.org","ROUTER","RAK4631","false",0,0
"!75366c81","CGRY","Coop Gray","CLIENT_MUTE","HELTEC_MESH_NODE_T114","false",0,0
"!1de929d4","RSLB","ResoluteBase","CLIENT","SEEED_XIAO_S3","false",0,0
"!228fa6c0","a6c0","PAC0 a6c0","CLIENT","TRACKER_T1000_E","false",0,0
"!9a433ba6","","","CLIENT_MUTE","","false",0,0
"!33698e70","FORM","FairOaksRanchMobile","CLIENT","HELTEC_V3","false",0,0
"!2ecb5f8","","","CLIENT","","false",0,0
"!1e2257d4","","","CLIENT","","false",0,0
"!cf7af81e","","","CLIENT","","false",0,0
"!b110e38e","","","CLIENT","","false",0,0
"!3c7d2d74","","","CLIENT","","false",0,0
"!b634aec5","ESMN","El Segundo Mesh Node","CLIENT_MUTE","RAK4631","false",0,0
"!f1b92b08","","","CLIENT","","false",0,0
"!87ac91c","IG01","iwvmesh.net Gateway 01","ROUTER","RAK11200","false",0,0
"!433d2a2c","2a2c","🤷 2a2c BBS","CLIENT_BASE","HELTEC_V3","false",0,0
"!2ec2eac","","","CLIENT","","false",0,0
"!9e764278","4278","chicken_coop_4278","CLIENT_BASE","HELTEC_V3","false",0,0
"!1fa04c94","W6TB","W6BAC T-Beam","CLIENT","TBEAM","false",0,0
"!331ca5bf","","","CLIENT","","false",0,0
"!e7e5f0f9","APL","AmputiLayag_MeshNodeQTHlab","CLIENT","RAK4631","false",0,0
"!595e1274","","","CLIENT","","false",0,0
"!da63ea54","","","CLIENT_MUTE","","false",0,0
"!2572f637","cthu","R'lyeh","CLIENT","RAK4631","false",0,0
"!43560730","","","CLIENT_MUTE","","false",0,0
"!849b5d40","","","CLIENT_BASE","","false",0,0
"!acaa5ef8","SAW","SAW Meshtastic","CLIENT","HELTEC_V3","false",0,0
"!8a9caec9","TWM7","TWEM07 www.twem.net","CLIENT","SEEED_SOLAR_NODE","false",0,0
"!ba0c7ce4","","","CLIENT","","false",0,0
"!f7df8e80","OS-4","NG6B Old_Skool-4","CLIENT","HELTEC_MESH_POCKET","false",0,0
"!1ba1e7a0","23b2","23b Shop Loaner","CLIENT","HELTEC_V4","false",0,0
"!ddd0e3fb","TPM1","Tobey PeakMesh e3fb","CLIENT","RAK4631","false",0,0
"!8fa78da4","PC-1","PC-8da4","CLIENT_BASE","HELTEC_V4","false",0,0
"!7a88dee1","","","CLIENT","","false",0,0
"!68a153e5","JAK1","JAK-white","CLIENT","T_ECHO","false",0,0
"!a1f8fc48","📸","GirlsGoneWireless-MF","CLIENT","SEEED_XIAO_S3","false",0,0
"!43596574","SHOP","KM6MCI NODE 1 🦜","CLIENT_MUTE","HELTEC_V3","false",0,0
"!2eaa1cb6","SCSJ","SCSJ","ROUTER_LATE","XIAO_NRF52_KIT","false",0,0
"!1a269ab0","","","CLIENT","","false",0,0
"!4789e0ac","","","TRACKER","","false",0,0
"!39d4f9f9","","","CLIENT_BASE","","false",0,0
"!219dfec1","8647","DJT IS A PEDOPHILE","CLIENT","RAK4631","false",0,0
"!82680694","N0DU","nodu","CLIENT","THINKNODE_M1","false",0,0
"!16d7fd14","👃","HAND_JOB","CLIENT","T_DECK","false",0,0
"!49b79c8c","","","CLIENT","","false",0,0
"!6983e444","e444","Meshtastic e444","CLIENT_BASE","HELTEC_V4","false",0,0
"!be2ec595","","","CLIENT","","false",0,0
"!a2eb4094","MMMM","MARK'S MOBILE NODE","CLIENT_MUTE","STATION_G2","false",0,0
"!bee8af95","","","CLIENT_BASE","","false",0,0
"!6c879dc","79dc","Meshtastic 79dc","CLIENT","TLORA_V2_1_1P6","false",0,0
"!da5eccec","","","CLIENT","","false",0,0
"!40649b8","MHB1","MMTCHB1","CLIENT","HELTEC_V3","false",0,0
"!637a8656","","","CLIENT","","false",0,0
"!1a5fcf2b","CRD1","Craner Duo 1","CLIENT_MUTE","MUZI_BASE","false",0,0
"!9d15cad8","","","CLIENT","","false",0,0
"!4c5abe4","WW10","Woolio 10","CLIENT","HELTEC_V4","false",0,0
"!1ba16fe4","","","CLIENT","","false",0,0
"!e2e1922c","","","CLIENT","","false",0,0
"!ea24768c","","","CLIENT","","false",0,0
"!eb0493d","👾","Gleep Card","CLIENT_MUTE","TRACKER_T1000_E","false",0,0
"!aa38094d","UNDR","undefined router","ROUTER","SEEED_SOLAR_NODE","false",0,0
"!604091af","🚌","Mobile Nodeile","CLIENT","RAK4631","false",0,0
"!f6fb4410","BPIE","WA6KDS","ROUTER","HELTEC_V3","false",0,0
"!5f2b7253","7253","Meshtastic 7253","CLIENT","RAK4631","false",0,0
"!9a928715","DTQ","KO6DTQ","CLIENT","TRACKER_T1000_E","false",0,0
"!a3f1557c","RXZB","RXZ Base","CLIENT_BASE","SEEED_SOLAR_NODE","false",0,0
"!df70017c","017c","Meshtastic 017c","CLIENT","TRACKER_T1000_E","false",0,0
"!db58f338","","","CLIENT","","false",0,0
"!f66adfac","dfac","Meshtastic dfac","CLIENT","HELTEC_V4","false",0,0
"!1c7e6617","6RKY","K6RKY-hAPac2","CLIENT_MUTE","254","false",0,0
"!119d6d21","SR","Sneaker Router","CLIENT","RAK4631","false",0,0
"!c5c044d5","","","CLIENT","","false",0,0
"!35019827","Card","BBD-Card","CLIENT","TRACKER_T1000_E","false",0,0
"!eb377ac5","","","CLIENT","","false",0,0
"!da577254","","","CLIENT","","false",0,0
"!4c57eb8","GOOB","GOOB","CLIENT","HELTEC_V4","false",0,0
"!16d3ef94","","","CLIENT","","false",0,0
"!7a41f8c9","","","CLIENT","","false",0,0
"!98fe09b4","L619","L619 T1000E","CLIENT_MUTE","TRACKER_T1000_E","false",0,0
"!1e29689f","Lex2","DryBone Alex 689f","CLIENT_MUTE","SEEED_WIO_TRACKER_L1","false",0,0
"!b15adcf4","mala","malatesta","CLIENT_MUTE","RAK4631","false",0,0
"!31289b4a","Tbey","Tobey Base - Placentia 9b4a","CLIENT_BASE","SEEED_SOLAR_NODE","false",0,0
"!3def1e62","🛶","OngAnaheimRidgeSolar-SoCalMesh.org","ROUTER","RAK4631","false",0,0
"!d20e87d2","","","CLIENT","","false",0,0
"!6c73b728","","","CLIENT","","false",0,0
"!c0c30c2c","0c2c","Meshtastic 0c2c","CLIENT_BASE","TBEAM","false",0,0
"!a2e9724c","","","CLIENT_BASE","","false",0,0
"!da634e68","4e68","Meshtastic 4e68","CLIENT","HELTEC_V3","false",0,0
"!96623c56","DalK","DualKMF","CLIENT","SEEED_WIO_TRACKER_L1","false",0,0
"!6c741960","","","CLIENT","","false",0,0
