proto,hour,delivered,sent
NEXTHOP,123,56,186
NEXTHOP,124,37,187
NEXTHOP,125,40,174
NEXTHOP,126,39,168
NEXTHOP,127,41,168
NEXTHOP,128,42,158
NEXTHOP,129,50,172
NEXTHOP,130,59,193
NEXTHOP,131,43,164
NEXTHOP,132,55,162
NEXTHOP,133,48,166
NEXTHOP,134,59,199
NEXTHOP,135,62,200
NEXTHOP,136,49,176
NEXTHOP,137,48,163
NEXTHOP,138,43,162
NEXTHOP,139,42,152
NEXTHOP,140,45,158
NEXTHOP,141,44,153
NEXTHOP,142,51,161
NEXTHOP,143,57,160
NEXTHOP,144,47,161
NEXTHOP,145,40,163
NEXTHOP,146,52,177
NEXTHOP,147,49,194
NEXTHOP,148,62,206
NEXTHOP,149,57,181
NEXTHOP,150,59,177
NEXTHOP,151,60,172
NEXTHOP,152,63,201
NEXTHOP,153,69,206
NEXTHOP,154,43,203
NEXTHOP,155,51,202
NEXTHOP,156,51,200
NEXTHOP,157,46,194
NEXTHOP,158,49,170
NEXTHOP,159,51,167
NEXTHOP,160,63,186
NEXTHOP,161,45,177
NEXTHOP,162,50,172
NEXTHOP,163,54,172
NEXTHOP,164,58,165
NEXTHOP,165,48,158
NEXTHOP,166,45,153
NEXTHOP,167,34,119
GRADCOR,0,21,150
GRADCOR,1,24,141
GRADCOR,2,33,161
GRADCOR,3,43,160
GRADCOR,4,50,148
GRADCOR,5,55,165
GRADCOR,6,57,173
GRADCOR,7,56,176
GRADCOR,8,59,181
GRADCOR,9,62,180
GRADCOR,10,63,168
GRADCOR,11,67,182
GRADCOR,12,71,182
GRADCOR,13,71,191
GRADCOR,14,73,164
GRADCOR,15,63,174
GRADCOR,16,72,176
GRADCOR,17,69,160
GRADCOR,18,65,162
GRADCOR,19,71,164
GRADCOR,20,75,153
GRADCOR,21,79,155
GRADCOR,22,79,184
GRADCOR,23,68,178
GRADCOR,24,74,178
GRADCOR,25,74,187
GRADCOR,26,80,182
GRADCOR,27,82,179
GRADCOR,28,72,173
GRADCOR,29,84,165
GRADCOR,30,79,170
GRADCOR,31,81,167
GRADCOR,32,79,182
GRADCOR,33,84,189
GRADCOR,34,91,204
GRADCOR,35,84,183
GRADCOR,36,88,191
GRADCOR,37,90,197
GRADCOR,38,89,204
GRADCOR,39,93,173
GRADCOR,40,84,162
GRADCOR,41,86,159
GRADCOR,42,72,158
GRADCOR,43,68,142
GRADCOR,44,74,146
GRADCOR,45,76,185
GRADCOR,46,83,158
GRADCOR,47,89,167
GRADCOR,48,79,163
GRADCOR,49,84,160
GRADCOR,50,76,174
GRADCOR,51,92,182
GRADCOR,52,89,186
GRADCOR,53,90,191
GRADCOR,54,83,194
GRADCOR,55,86,181
GRADCOR,56,86,188
GRADCOR,57,94,203
GRADCOR,58,99,207
GRADCOR,59,91,204
GRADCOR,60,106,210
GRADCOR,61,87,195
GRADCOR,62,101,202
GRADCOR,63,99,199
