source_node_id	dest_node_id	route	snr_towards	route_back	snr_back	ts	hop_start	hop_limit	request_id
!a1d75fc4	!f1bfbe6a	[1780406593,1770251612,501821116]	[52,-32,-14]	[]	[]	1782562740	7	5	0
!a1d75fc4	!f1bfbe6a	[1780406593,1770251612,1197648663]	[52,-32,-27]	[]	[]	1782562740	7	4	0
!a1d75fc4	!1ba234d4	[1780406593,1130030704,2274067141]	[52,-17,-34]	[]	[]	1782562908	7	4	0
!1ba234d4	!a1d75fc4	[1780406593,1130030704,2274067141]	[52,-17,-34,-3]	[2274067141]	[-19]	1782562911	5	4	0
!1ba234d4	!a1d75fc4	[1780406593,1130030704,2274067141]	[52,-17,-34,-3]	[2274067141,3148250271]	[-19,-39]	1782562913	5	3	0
!a1d75fc4	!6b5aa544	[1780406593,1770251612]	[53,-47]	[]	[]	1782563087	7	5	0
!a1d75fc4	!6b5aa544	[1780406593,1770251612,3148250271]	[53,-47,-2]	[]	[]	1782563090	7	4	0
!a1d75fc4	!6c73bdb4	[1780406593,4134126952,4294967295,1692561267]	[54,-34,-128,37]	[]	[]	1782563280	7	3	0
!6c73bdb4	!a1d75fc4	[1780406593,4134126952,4294967295,1692561267,501821116]	[54,-34,-128,37,-44,40]	[]	[]	1782563281	5	5	0
!a1d75fc4	!6c73bdb4	[1780406593,4134126952,4294967295,1692561267,501821116]	[54,-34,-128,37,-44]	[]	[]	1782563281	7	2	0
!6c73bdb4	!a1d75fc4	[1780406593,4134126952,4294967295,1692561267,501821116]	[54,-34,-128,37,-44,40]	[]	[]	1782563281	5	5	0
!a1d75fc4	!6c73bdb4	[1780406593,4134126952,4294967295,1692561267,1770251612,1197648663,501857110]	[54,-34,-128,37,28,-18,11]	[]	[]	1782563283	7	\N	0
!33665478	!f6700eb0	[]	[0]	[]	[-31]	1782563442	2	2	0
!f6700eb0	!33665478	[3783007151,2323964937]	[44,-19]	[]	[]	1782563442	7	6	0
!f6700eb0	!33665478	[3783007151,2323964937,70044471,1725113834]	[44,-19,51,-30]	[]	[]	1782563444	7	6	0
!a1d75fc4	!da64b474	[1780406593,1770251612]	[51,-28]	[]	[]	1782563446	7	5	0
!a1d75fc4	!da64b474	[1780406593,1770251612,501821116]	[51,-28,-34]	[]	[]	1782563447	7	5	0
!a1d75fc4	!da64b474	[1780406593,1770251612,1197648663,501857110]	[51,-28,-23,23]	[]	[]	1782563449	7	3	0
!b1610d41	!650cd503	[1548600466]	[54]	[]	[]	1782563559	7	7	0
