source_node_id	hour	msgs
!4677cab	2026-07-03 23:00:00	10
!4677cab	2026-07-04 00:00:00	8
!4677cab	2026-07-04 01:00:00	8
!4677cab	2026-07-04 02:00:00	8
!4677cab	2026-07-04 03:00:00	12
!4677cab	2026-07-04 04:00:00	12
!4677cab	2026-07-04 05:00:00	4
!4677cab	2026-07-04 06:00:00	8
!4677cab	2026-07-04 07:00:00	8
!4677cab	2026-07-04 08:00:00	4
!4677cab	2026-07-04 09:00:00	4
!4677cab	2026-07-04 10:00:00	4
!4734fddc	2026-06-29 22:00:00	2
!4762ab17	2026-06-27 23:00:00	2
!4836d0b	2026-06-27 14:00:00	3
!4836d0b	2026-07-03 06:00:00	2
!4836d0b	2026-07-03 07:00:00	2
!4836d0b	2026-07-04 08:00:00	4
!49479266	2026-06-27 11:00:00	3
!49479266	2026-06-27 12:00:00	16
!49479266	2026-06-27 13:00:00	26
!49479266	2026-06-27 14:00:00	7
!49479266	2026-06-27 15:00:00	11
!49479266	2026-06-27 16:00:00	22
!49479266	2026-06-27 17:00:00	20
!49479266	2026-06-27 18:00:00	19
!49479266	2026-06-27 19:00:00	19
!49479266	2026-06-27 20:00:00	19
!49479266	2026-06-27 21:00:00	12
!49479266	2026-06-27 22:00:00	20
!49479266	2026-06-27 23:00:00	12
!49479266	2026-06-28 00:00:00	15
!49479266	2026-06-28 01:00:00	17
!49479266	2026-06-28 02:00:00	12
!49479266	2026-06-28 03:00:00	15
!49479266	2026-06-28 04:00:00	14
!49479266	2026-06-28 05:00:00	14
!49479266	2026-06-28 06:00:00	16
!49479266	2026-06-28 07:00:00	16
!49479266	2026-06-28 08:00:00	14
!49479266	2026-06-28 09:00:00	11
!49479266	2026-06-28 10:00:00	14
!49479266	2026-06-28 11:00:00	15
!49479266	2026-06-28 12:00:00	26
!49479266	2026-06-28 13:00:00	42
!49479266	2026-06-28 14:00:00	20
!49479266	2026-06-28 15:00:00	36
!49479266	2026-06-28 16:00:00	40
!49479266	2026-06-28 17:00:00	32
!49479266	2026-06-28 18:00:00	22
!49479266	2026-06-28 19:00:00	30
!49479266	2026-06-28 20:00:00	22
!49479266	2026-06-28 21:00:00	22
!49479266	2026-06-28 22:00:00	36
!49479266	2026-06-28 23:00:00	30
!49479266	2026-06-29 00:00:00	32
!49479266	2026-06-29 01:00:00	34
!49479266	2026-06-29 02:00:00	22
!49479266	2026-06-29 03:00:00	16
!49479266	2026-06-29 04:00:00	20
!49479266	2026-06-29 05:00:00	12
!49479266	2026-06-29 06:00:00	20
!49479266	2026-06-29 07:00:00	28
!49479266	2026-06-29 08:00:00	30
!49479266	2026-06-29 09:00:00	32
!49479266	2026-06-29 10:00:00	38
!49479266	2026-06-29 11:00:00	32
!49479266	2026-06-29 12:00:00	34
!49479266	2026-06-29 13:00:00	32
!49479266	2026-06-29 14:00:00	28
!49479266	2026-06-29 15:00:00	16
!49479266	2026-06-29 16:00:00	28
!49479266	2026-06-29 17:00:00	28
!49479266	2026-06-29 18:00:00	24
!49479266	2026-06-29 19:00:00	26
!49479266	2026-06-29 20:00:00	18
!49479266	2026-06-29 21:00:00	24
!49479266	2026-06-29 22:00:00	30
!49479266	2026-06-29 23:00:00	24
!49479266	2026-06-30 00:00:00	28
!49479266	2026-06-30 01:00:00	34
!49479266	2026-06-30 02:00:00	24
!49479266	2026-06-30 03:00:00	22
!49479266	2026-06-30 04:00:00	26
!49479266	2026-06-30 05:00:00	18
!49479266	2026-06-30 06:00:00	28
!49479266	2026-06-30 07:00:00	26
!49479266	2026-06-30 08:00:00	36
!49479266	2026-06-30 09:00:00	34
!49479266	2026-06-30 10:00:00	40
!49479266	2026-06-30 11:00:00	22
!49479266	2026-06-30 12:00:00	16
!49479266	2026-06-30 13:00:00	30
!49479266	2026-06-30 14:00:00	26
!49479266	2026-06-30 15:00:00	30
!49479266	2026-06-30 16:00:00	32
!49479266	2026-06-30 17:00:00	38
!49479266	2026-06-30 18:00:00	36
!49479266	2026-06-30 19:00:00	42
!49479266	2026-06-30 20:00:00	38
!49479266	2026-06-30 21:00:00	36
!49479266	2026-06-30 22:00:00	44
!49479266	2026-06-30 23:00:00	28
!49479266	2026-07-01 00:00:00	26
!49479266	2026-07-01 01:00:00	22
!49479266	2026-07-01 02:00:00	20
!49479266	2026-07-01 03:00:00	16
